;id_unidade;nome_unidade;cidade;regiao;categoria_hotel;num_quartos_total
0;1;NaraHoteis Ipanema;Rio de Janeiro;Capital;5 Estrelas;80
1;2;NaraHoteis Barra da Tijuca;Rio de Janeiro;Capital;4 Estrelas;120
2;3;NaraHoteis Centro;Rio de Janeiro;Capital;3 Estrelas;60
3;4;NaraHoteis Santa Teresa;Rio de Janeiro;Capital;4 Estrelas;45
4;5;NaraHoteis Nova Iguaçu Centro;Nova Iguaçu;Baixada Fluminense;3 Estrelas;50
5;6;NaraHoteis Nova Iguaçu Park;Nova Iguaçu;Baixada Fluminense;3 Estrelas;55
6;7;NaraHoteis Petrópolis;Petrópolis;Serra;5 Estrelas;70
7;8;NaraHoteis Teresópolis;Teresópolis;Serra;4 Estrelas;60
8;9;NaraHoteis Friburgo;Nova Friburgo;Serra;4 Estrelas;55
9;10;NaraHoteis Paraty;Paraty;Costa Verde;5 Estrelas;75
10;11;NaraHoteis Angra dos Reis;Angra dos Reis;Costa Verde;5 Estrelas;90
11;12;NaraHoteis Mangaratiba;Mangaratiba;Costa Verde;4 Estrelas;50
12;13;NaraHoteis Copacabana Premium;Rio de Janeiro;Capital;5 Estrelas;40
